system	number of systems
PDC-M51	21
PDC-M57	19
PD-Lambda-6	19
AbiB	19
cas_type_I-A	18
PDC-M70	16
retron_VII-A2	15
cbass_type_IV	14
brex_type_VI	13
cas_type_III-H	12
PDC-M64	11
PDC-M58	10
AbiC	10
PDC-M59	9
cas_type_I-B2	9
AbiT	8
viperin_toxin	8
retron_VII-A1	7
PDC-M72	7
AbiI	7
2TM-1TM-TIR	6
viperin_kinase_fusion	6
AbiP	6
viperin_other	5
cas_type_IV-D	5
retron_VIII	4
cas_type_VI	4
cas_type_V-K	2
cas_type_III-F	2
viperin_nerd	1
cas_type_IV-E	1
cas_type_III-E	1
